sehir,x,y
Adana,4.0,-195.0
Adiyaman,230.0,-137.0
Afyonkarahisar,-408.0,-46.0
Agri,620.0,68.0
Aksaray,-135.0,-84.0
Amasya,21.0,167.0
Ankara,-228.0,86.0
Antalya,-392.0,-218.0
Ardahan,585.0,220.0
Artvin,528.0,225.0
Aydin,-618.0,-117.0
Balikesir,-619.0,88.0
Bartin,-226.0,259.0
Batman,484.0,-136.0
Bayburt,386.0,123.0
Bilecik,-432.0,113.0
Bingol,443.0,-8.0
Bitlis,551.0,-59.0
Bolu,-285.0,160.0
Burdur,-451.0,-157.0
Bursa,-522.0,116.0
Canakkale,-707.0,125.0
Cankiri,-163.0,162.0
Corum,-63.0,139.0
Denizli,-535.0,-135.0
Diyarbakir,388.0,-123.0
Duzce,-337.0,186.0
Edirne,-711.0,242.0
Elazig,303.0,-51.0
Erzincan,294.0,64.0
Erzurum,500.0,100.0
Eskisehir,-354.0,62.0
Gaziantep,156.0,-216.0
Giresun,360.0,179.0
Gumushane,311.0,132.0
Hakkari,724.0,-149.0
Hatay,74.0,-287.0
Igdir,679.0,102.0
Isparta,-377.0,-140.0
Istanbul,-531.0,231.0
Izmir,-697.0,-64.0
Kahramanmaras,122.0,-128.0
Karabuk,-229.0,214.0
Karaman,-198.0,-213.0
Kars,596.0,149.0
Kastamonu,-141.0,254.0
Kayseri,16.0,-57.0
Kilis,127.0,-243.0
Kirikkale,-629.0,287.0
Kirklareli,-143.0,76.0
Kirsehir,-103.0,32.0
Kocaeli,-437.0,200.0
Konya,-251.0,-97.0
Kutahya,-497.0,30.0
Malatya,209.0,-70.0
Manisa,-595.0,-27.0
Mardin,452.0,-183.0
Mersin,-134.0,-256.0
Mugla,-591.0,-184.0
Mus,516.0,-9.0
Nevsehir,-60.0,-49.0
Nigde,-63.0,-137.0
Ordu,252.0,168.0
Osmaniye,69.0,-207.0
Rize,513.0,228.0
Sakarya,-391.0,185.0
Samsun,40.0,213.0
Sanliurfa,325.0,-209.0
Siirt,541.0,-118.0
Sinop,-35.0,263.0
Sirnak,597.0,-164.0
Sivas,135.0,42.0
Tekirdag,-662.0,222.0
Tokat,83.0,129.0
Trabzon,442.0,201.0
Tunceli,321.0,-7.0
Usak,-523.0,-57.0
Van,681.0,-48.0
Yalova,-495.0,169.0
Yozgat,-36.0,67.0
Zonguldak,-286.0,230.0